anime_name,score,play_count,follow_count,release_time,cover_url
Re：从零开始的异世界生活 第二季 后半,8.5,0.0万,875.3万,全12话,https://i0.hdslb.com/bfs/bangumi/image/4f3edbede7fc0bdb52842075cf8faaa1c5953eaa.png@240w_321h.webp
小林家的龙女仆,8.5,0.0万,863.9万,全14话,https://i0.hdslb.com/bfs/bangumi/image/c72a95c3cae82f58f8fa25facd40960aa2003d26.png@240w_321h.webp
青春猪头少年不会梦到兔女郎学姐,8.5,0.0万,856.8万,全13话,https://i0.hdslb.com/bfs/bangumi/1cc333ff578e5ea9fded7e454953a4e2291440c2.png@240w_321h.webp
国王排名 勇气的宝箱,8.5,0.0万,851.8万,全10话,https://i0.hdslb.com/bfs/bangumi/image/56245da8a6f0c24e2cf966910ee336d41761a3a2.png@240w_321h.webp
辉夜大小姐想让我告白～天才们的恋爱头脑战～,8.5,0.0万,850.8万,全12话,https://i0.hdslb.com/bfs/bangumi/451037aabcdce0379752e087720673609894161a.png@240w_321h.webp
工作细胞,8.5,0.0万,845.4万,全14话,https://i0.hdslb.com/bfs/bangumi/f5d5f51b941c01f8b90b361b412dc75ecc2608d3.png@240w_321h.webp
工作细胞 第二季,8.5,0.0万,838.4万,全8话,https://i0.hdslb.com/bfs/bangumi/image/cece1d7eaabd0fac10480efec3d879c542247734.png@240w_321h.webp
关于我转生变成史莱姆这档事 转生史莱姆日记,8.5,0.0万,837.6万,全12话,https://i0.hdslb.com/bfs/bangumi/image/cac1699418451387f93572066b7e5d14d799d3cd.jpg@240w_321h.webp
紫罗兰永恒花园 剧场版,8.5,0.0万,836.2万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
JOJO的奇妙冒险 石之海,8.5,0.0万,828.0万,全38话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
刀剑神域进击篇：无星之夜,8.5,0.0万,812.6万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,8.5,0.0万,801.6万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
Re：从零开始的异世界生活 第二季 前半,8.5,0.0万,799.7万,全13话,https://i0.hdslb.com/bfs/bangumi/image/f2425cbdb07cc93bd0d3ba1c0099bfe78f5dc58a.png@240w_321h.webp
关于我转生变成史莱姆这档事,8.5,0.0万,795.8万,全28话,https://i0.hdslb.com/bfs/bangumi/a4c0e0ccc44fe3949a734f546cf5bb07da925bad.png@240w_321h.webp
埃罗芒阿老师,8.5,0.0万,770.6万,全12话,https://i0.hdslb.com/bfs/bangumi/a223b1376633625be1cd214c34d8bf34a1e03770.jpg@240w_321h.webp
鬼灭之刃 中配版,8.5,0.0万,762.1万,全26话,https://i0.hdslb.com/bfs/bangumi/image/962b27ff452b5daf98038a10a6dad3c134916e7d.png@240w_321h.webp
欢迎来到实力至上主义的教室,8.5,0.0万,760.5万,全12话,https://i0.hdslb.com/bfs/bangumi/a79e331b7443ed5df5a2acd345dc41d598d46ff9.jpg@240w_321h.webp
鬼灭之刃 游郭篇 中配版,8.5,0.0万,757.4万,全11话,https://i0.hdslb.com/bfs/bangumi/image/3d7b25dd6c19e2b2be3600f8dda30d57f017a900.jpg@240w_321h.webp
夏目友人帐 第七季,8.5,0.0万,714.6万,全13话,https://i0.hdslb.com/bfs/bangumi/image/6b431f3e7aef2fd476a11a59449096f20e5c34a4.jpg@240w_321h.webp
四月是你的谎言,8.5,0.0万,708.3万,全22话,https://i0.hdslb.com/bfs/bangumi/image/ec912249f5bf1fe1521c9a2df5ae655567bd85ef.png@240w_321h.webp
因为太怕痛就全点防御力了 第二季,8.5,0.0万,704.2万,全12话,https://i0.hdslb.com/bfs/bangumi/image/f048b95d59391fab0c0b57d636bb03038b4cd9d8.png@240w_321h.webp
OVERLORD,8.5,0.0万,692.6万,全13话,https://i0.hdslb.com/bfs/bangumi/b8e72ea69e57e0b7ac85d8b4d366554fd866df1a.jpg@240w_321h.webp
Re：从零开始的异世界生活 新编集版,8.5,0.0万,689.2万,全13话,https://i0.hdslb.com/bfs/bangumi/image/3c125e1aad08643e3eff2fb7d45e740c1a052725.png@240w_321h.webp
因为太怕痛就全点防御力了,8.5,0.0万,689.1万,全12话,https://i0.hdslb.com/bfs/bangumi/image/8021d3f6b0df6dbba6d32f76eb9cfe2531e166c4.png@240w_321h.webp
某科学的超电磁炮T,8.5,0.0万,679.9万,全25话,https://i0.hdslb.com/bfs/bangumi/image/85c6e348a00a54d0b86d538efb186e006a027e21.png@240w_321h.webp
中二病也要谈恋爱！,8.5,0.0万,674.2万,全13话,https://i0.hdslb.com/bfs/bangumi/image/9b2fadeebea37c5da20ec9215fc4056caee69584.jpg@240w_321h.webp
JOJO的奇妙冒险,8.5,0.0万,673.3万,全26话,https://i0.hdslb.com/bfs/bangumi/image/9d8d2922b08f3d08d018e6e59e49607cf16d39e6.png@240w_321h.webp
某科学的超电磁炮,8.5,0.0万,662.3万,全24话,https://i0.hdslb.com/bfs/bangumi/image/aad797f1f0212aba5578a1ed1c992ef1b9ff7c4b.jpg@240w_321h.webp
Charlotte,8.5,0.0万,645.7万,全13话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
名侦探柯南：零的执行人,8.5,0.0万,644.1万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
名侦探柯南：万圣节的新娘,8.5,0.0万,641.5万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
紫罗兰永恒花园外传：永远与自动手记人偶,8.5,0.0万,636.0万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
在下坂本，有何贵干？,8.5,0.0万,631.4万,全13话,https://i0.hdslb.com/bfs/bangumi/14ba6643f22405e2777cca992002cc6411601334.jpg@240w_321h.webp
转生成蜘蛛又怎样！,8.5,0.0万,628.0万,全24话,https://i0.hdslb.com/bfs/bangumi/image/f0796e37abac25ba2aa9f23120646aaa9a3d5ea7.png@240w_321h.webp
徒然喜欢你,8.5,0.0万,626.2万,全12话,https://i0.hdslb.com/bfs/bangumi/image/cb4dde6d68cf3a826538d84925e123a1148b779d.png@240w_321h.webp
盾之勇者成名录 第四季,8.5,0.0万,621.3万,全12话,https://i0.hdslb.com/bfs/bangumi/image/9ab477d538d0f51623ab63b058c290b8a211cdf7.png@240w_321h.webp
刀剑神域 爱丽丝篇 异界战争 -终章-,8.5,0.0万,610.5万,全12话,https://i0.hdslb.com/bfs/bangumi/image/54d9ca94ca84225934e0108417c2a1cc16be38fb.png@240w_321h.webp
我的青春恋爱物语果然有问题。完,8.5,0.0万,604.2万,全12话,https://i0.hdslb.com/bfs/bangumi/image/82d628408f5472f1440982e880b0b4f0146862ad.png@240w_321h.webp
盾之勇者成名录 第三季,8.5,0.0万,602.7万,全12话,https://i0.hdslb.com/bfs/bangumi/image/dfe9d927f97b2531d32a8007ad4864c04acc0c6e.png@240w_321h.webp
总之就是非常可爱,8.5,0.0万,601.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/3b97bfc609e08417eb391ef975a8648c28c55e04.png@240w_321h.webp
约会大作战 第四季,8.5,0.0万,591.0万,全12话,https://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png@240w_321h.webp
Angels of Death,8.5,0.0万,584.6万,全16话,https://i0.hdslb.com/bfs/bangumi/0f11dfac18d744518669b2d211263f03d41d619c.png@240w_321h.webp
盾之勇者成名录 第二季,8.5,0.0万,583.1万,全13话,https://i0.hdslb.com/bfs/bangumi/image/5e95efd69d87286c5f21e8130b901788d7fc4921.png@240w_321h.webp
OVERLORD Ⅲ,8.5,0.0万,581.4万,全13话,https://i0.hdslb.com/bfs/bangumi/image/dd7a9d0a0bee32b1f43c2656398d8463d12b3069.jpg@240w_321h.webp
JOJO的奇妙冒险 黄金之风,8.5,0.0万,572.9万,全39话,https://i0.hdslb.com/bfs/bangumi/f34ff3975c39913af936c133ae60a5891babba08.png@240w_321h.webp
总之就是非常可爱 第二季,8.5,0.0万,572.5万,全16话,https://i0.hdslb.com/bfs/bangumi/image/2f57b2255f0b8608fabdca55612d40b4249d4dcb.png@240w_321h.webp
OVERLORD Ⅱ,8.5,0.0万,570.4万,全13话,https://i0.hdslb.com/bfs/bangumi/851f979c8ebcc7583a43abd4b786c4e2e66b746b.jpg@240w_321h.webp
碧蓝之海 第二季,8.5,0.0万,570.0万,全12话,https://i0.hdslb.com/bfs/bangumi/image/dcd6e746842fdb988775c8b5f8217ad19b6d4de2.png@240w_321h.webp
夏目友人帐 唤石者与怪异的访客,8.5,0.0万,567.5万,全1话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
虚构推理,8.5,0.0万,566.1万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
碧蓝之海,8.5,0.0万,562.6万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
干物妹！小埋,8.5,0.0万,557.5万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
路人超能100 III(灵能百分百 第三季),8.5,0.0万,554.5万,全12话,https://i0.hdslb.com/bfs/bangumi/image/f298e43fd9673abdaf86ecb30ba8197410ee3c3e.png@240w_321h.webp
虚构推理 第二季,8.5,0.0万,553.2万,全12话,https://i0.hdslb.com/bfs/bangumi/image/e650639bebe4f41aa33816c509462072cc59c375.png@240w_321h.webp
夏目友人帐 唤石者与怪异的访客（中配）,8.5,0.0万,551.6万,全1话,https://i0.hdslb.com/bfs/bangumi/image/6cf43708b779cde84ad285ff4e3a080de98df0af.png@240w_321h.webp
我的青春恋爱物语果然有问题。,8.5,0.0万,550.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/8d1200b8c8b795dd3a7baae33afcec42fbd1947c.png@240w_321h.webp
我们仍未知道那天所看见的花的名字。,8.5,0.0万,549.1万,全11话,https://i0.hdslb.com/bfs/bangumi/image/6c1ca4159442a6de3577bbee5e583be72b00499f.jpg@240w_321h.webp
命运-冠位指定 -神圣圆桌领域卡美洛- 前篇 漂泊的银之臂,8.5,0.0万,546.8万,全1话,https://i0.hdslb.com/bfs/bangumi/image/a3d57c6370978e717f3a7f6c1d4cdcebf511cf83.png@240w_321h.webp
命运-冠位指定 -神圣圆桌领域卡美洛- 后篇 圣骑士银之臂,8.5,0.0万,542.7万,全1话,https://i0.hdslb.com/bfs/bangumi/image/1f3c46ad8bbb8e7604f9674e90373f8722195f46.png@240w_321h.webp
葬送的芙莉莲,8.5,0.0万,541.8万,全28话,https://i0.hdslb.com/bfs/bangumi/image/f3ebb500b701a387f5abde67516c5c96bbd2faff.png@240w_321h.webp
Fate/stay night [Unlimited Blade Works] 第一季,8.5,0.0万,536.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/e67e09c9e48a32371a81100e0f65a61b18aabb24.png@240w_321h.webp
JOJO的奇妙冒险 星尘远征军,8.5,0.0万,541.0万,全24话,https://i0.hdslb.com/bfs/bangumi/image/47c0108259355d6d2c517ed97f6b90fb777f844f.png@240w_321h.webp
青春猪头少年不会梦到怀梦美少女,8.5,0.0万,534.3万,全1话,https://i0.hdslb.com/bfs/bangumi/image/cfafce51c36912bbe0b25993c7fd9489456c7120.png@240w_321h.webp
名侦探柯南,8.5,0.0万,532.2万,更新至第1250话,https://i0.hdslb.com/bfs/bangumi/image/38e2a273f528fd01c34f1fc4df0f69c64487efad.png@240w_321h.webp
这个勇者明明超强却过分慎重,8.5,0.0万,528.4万,全12话,https://i0.hdslb.com/bfs/bangumi/image/0ede47280762947ab83ce1a8269ce05f2b0a87e6.jpg@240w_321h.webp
世界顶尖的暗杀者，转生为异世界贵族,8.5,0.0万,528.0万,全12话,https://i0.hdslb.com/bfs/bangumi/image/4f9b67c600242e6772072a152c48b18dba016864.png@240w_321h.webp
夏日重现,8.5,0.0万,527.2万,全25话,https://i0.hdslb.com/bfs/bangumi/image/4b2547ffdd6f40f997454b37c0ad48624a1730d9.jpg@240w_321h.webp
NO GAME NO LIFE 游戏人生,8.5,0.0万,523.3万,全12话,https://i0.hdslb.com/bfs/bangumi/f7175cd20de509e2bfd43255c28cf4e24841480d.jpg@240w_321h.webp
盾之勇者成名录,8.5,0.0万,520.2万,全25话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
致不灭的你 第三季,8.5,0.0万,519.2万,更新至第8话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
异度侵入 ID:INVADED,8.5,0.0万,519.0万,全13话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
干物妹！小埋R,8.5,0.0万,517.7万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
命运-冠位指定 冠位时间神殿所罗门,8.5,0.0万,517.5万,全1话,https://i0.hdslb.com/bfs/bangumi/image/c67cf37c9d722a50c7f75ffd6e81391fc9170f9d.jpg@240w_321h.webp
刀剑神域 爱丽丝篇 异界战争,8.5,0.0万,517.3万,全13话,https://i0.hdslb.com/bfs/bangumi/327056a886f2c7cba6175a80eed2f78098cec5b1.png@240w_321h.webp
岸边露伴 一动也不动,8.5,0.0万,514.4万,全4话,https://i0.hdslb.com/bfs/bangumi/image/9b89d0fa9c44fdc791407847d3556f4cb8f157e4.png@240w_321h.webp
Fate/Zero 第一季,8.5,0.0万,512.1万,全13话,https://i0.hdslb.com/bfs/bangumi/46a9b18f6f7b08e30a781cf1b44594f1fb2c9e64.jpg@240w_321h.webp
五等分的新娘∬,8.5,0.0万,511.5万,全12话,https://i0.hdslb.com/bfs/bangumi/image/2a0dc651a4ffca1cfe915dbc7eb2c8c65256813d.png@240w_321h.webp
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,8.5,0.0万,511.1万,全22话,https://i0.hdslb.com/bfs/bangumi/image/ef60e620eb507d48c1e8e6002728fae4553f9161.png@240w_321h.webp
致不灭的你,8.5,0.0万,508.3万,全20话,https://i0.hdslb.com/bfs/bangumi/image/1ae94fbb35d8e23bb84926b694509f8b057f96e6.png@240w_321h.webp
路人女主的养成方法,8.5,0.0万,500.6万,全13话,https://i0.hdslb.com/bfs/bangumi/image/20ee5a611f71b848d2136aa93ad8fbf5d1b2b23a.png@240w_321h.webp
Re：从零开始的异世界生活 Memory Snow(雪之回忆),8.5,0.0万,500.3万,全1话,https://i0.hdslb.com/bfs/bangumi/image/137c9c239aed5d7666f35ab1d28528547d05544f.png@240w_321h.webp
JOJO的奇妙冒险 星尘远征军 埃及篇,8.5,0.0万,499.5万,全24话,https://i0.hdslb.com/bfs/bangumi/image/f6709b76e88f50aa132d1e09e2d8de9663a09b3e.png@240w_321h.webp
Ｄｒ．ＳＴＯＮＥ 石纪元 (第四季),8.5,0.0万,498.1万,全24话,https://i0.hdslb.com/bfs/bangumi/image/834bdb5d36c401179b9e91fdc1de520a6664c2a7.png@240w_321h.webp
五等分的新娘,8.5,0.0万,497.4万,全12话,https://i0.hdslb.com/bfs/bangumi/6fbd8eba88bbe5ea90b760771e5fca61117c00e9.png@240w_321h.webp
Re：从零开始的异世界生活 冰结之绊,8.5,0.0万,496.7万,全1话,https://i0.hdslb.com/bfs/bangumi/image/05859fac3ad9be31373e2d2b548a2f14fd472de2.png@240w_321h.webp
3年Z组银八老师,8.5,0.0万,488.5万,全12话,https://i0.hdslb.com/bfs/bangumi/image/9a2c61b48a16f292817266cd595b74c89cc033e0.png@240w_321h.webp
银魂,8.5,0.0万,486.2万,全200话,https://i0.hdslb.com/bfs/bangumi/image/087b862b772ee4e644478a36c757a26db476193d.png@240w_321h.webp
魔女之旅,8.5,0.0万,483.4万,全12话,https://i0.hdslb.com/bfs/bangumi/image/09533e0b510630235326a818adabb6c64c1abce2.png@240w_321h.webp
孤独摇滚！,8.5,0.0万,480.8万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
命运-冠位嘉年华,8.5,0.0万,480.5万,全2话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
EVA 新世纪福音战士,8.5,0.0万,479.5万,全26话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
致不灭的你 第二季,8.5,0.0万,477.8万,全20话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
终结的炽天使,8.5,0.0万,475.6万,全12话,https://i0.hdslb.com/bfs/bangumi/image/1540c4050bd0f9ba48f59d9c1056acf1d6e26492.jpg@240w_321h.webp
命运-冠位指定 -月光／失落之室-,8.5,0.0万,473.9万,全1话,https://i0.hdslb.com/bfs/bangumi/image/3fa5fd2b7afae827b0bf150d7f0cbfc54eda1ff2.png@240w_321h.webp
多罗罗,8.5,0.0万,472.4万,全24话,https://i0.hdslb.com/bfs/bangumi/3fc16a667502cbff226e585eb660a96a20c7458c.png@240w_321h.webp
刀剑神域 Alicization,8.5,0.0万,470.6万,全25话,https://i0.hdslb.com/bfs/bangumi/image/473b8f1c7e23c79b868ef46df3f3cff67362f285.jpg@240w_321h.webp
境界的彼方,8.5,0.0万,465.5万,全12话,https://i0.hdslb.com/bfs/bangumi/92824bc6a8c7aabbf494c0b276d4aa7b70842976.jpg@240w_321h.webp
CLANNAD,8.5,0.0万,465.4万,全23话,https://i0.hdslb.com/bfs/bangumi/image/c2eba075e21ef065706137c68462465622a084c5.png@240w_321h.webp
月刊少女野崎君,8.5,0.0万,463.4万,全12话,https://i0.hdslb.com/bfs/bangumi/image/e59dd0bbcf46677eaa4a99602ed82cd56be55da2.png@240w_321h.webp
命运之夜——天之杯Ⅲ：春之歌,8.5,0.0万,456.7万,全1话,https://i0.hdslb.com/bfs/bangumi/image/03442c4de70f7f2a9c66914f728724b8e18e1770.png@240w_321h.webp
Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季),8.5,0.0万,456.6万,全22话,https://i0.hdslb.com/bfs/bangumi/image/1d72fab14c829f45bef5878c767bcca153018d3b.png@240w_321h.webp
约战狂三外传,8.5,0.0万,452.8万,全2话,https://i0.hdslb.com/bfs/bangumi/image/faf7334f2e62698f852db315e10dcacfe80748f3.jpg@240w_321h.webp
葬送的芙莉莲 中配版,8.5,0.0万,449.4万,全28话,https://i0.hdslb.com/bfs/bangumi/image/faf410ab7dd2fbf811dbacfbca9003da0a3903d0.png@240w_321h.webp
地缚少年花子君 第二季,8.5,0.0万,448.1万,全24话,https://i0.hdslb.com/bfs/bangumi/image/23191952597141aaff1c8c564f137f2957ce0125.png@240w_321h.webp
日常,8.5,0.0万,442.3万,全26话,https://i0.hdslb.com/bfs/bangumi/image/fffe7786ff143105dd859196181815bbb2dd5ade.png@240w_321h.webp
刀剑神域,8.5,0.0万,442.0万,全25话,https://i0.hdslb.com/bfs/bangumi/fcdb9db0cc3f5c0c3aaa4ca1a9ddea6c121db471.jpg@240w_321h.webp
路人超能100(灵能百分百),8.5,0.0万,441.1万,全12话,https://i0.hdslb.com/bfs/bangumi/e2b46584e29f2349748b48c5fb26ce02fcbca4e8.jpg@240w_321h.webp
龙与虎,8.5,0.0万,440.4万,全26话,https://i0.hdslb.com/bfs/bangumi/144910805f172d16c5f544f43939a05d8ca20576.jpg@240w_321h.webp
Fate/Apocrypha,8.5,0.0万,438.8万,全25话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
名侦探柯南：犯人犯泽先生,8.5,0.0万,438.3万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
命运之夜——天之杯II ：迷失之蝶,8.5,0.0万,437.2万,,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
地缚少年花子君,8.5,0.0万,434.5万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
樱花庄的宠物女孩,8.5,0.0万,433.9万,全24话,https://i0.hdslb.com/bfs/bangumi/7bf8baf33c1ecd4a7fea91e81d0143aabe1e1b7c.jpg@240w_321h.webp
天使降临到我身边,8.5,0.0万,430.8万,全13话,https://i0.hdslb.com/bfs/bangumi/e1015a803ad97406f9eddfbc6ad608cc965f8b05.png@240w_321h.webp
路人女主的养成方法 Fine,8.5,0.0万,428.3万,全1话,https://i0.hdslb.com/bfs/bangumi/image/c65e3bf95f1e8fa4aeaa9796c58b0b87fa2545f4.png@240w_321h.webp
月色真美,8.5,0.0万,426.2万,全12话,https://i0.hdslb.com/bfs/bangumi/5ce66f68d54052e3a305524b9b06a76977e974fc.jpg@240w_321h.webp
文豪野犬 第五季,8.5,0.0万,425.8万,全11话,https://i0.hdslb.com/bfs/bangumi/image/a2a75b23373e539f27ac1887fe12a0e5d2b1af13.png@240w_321h.webp
文豪野犬 第四季,8.5,0.0万,419.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/08f9d94594173131eea0766e4bfb4f5528b7f195.png@240w_321h.webp
卫宫家今天的饭,8.5,0.0万,417.1万,全13话,https://i0.hdslb.com/bfs/bangumi/f24f032372642f35257f66478ccfa51800b504a8.jpg@240w_321h.webp
罪恶王冠,8.5,0.0万,416.2万,全22话,https://i0.hdslb.com/bfs/bangumi/image/93e0aaf760327bbf074aff33f6ea3adf2c84ab5c.jpg@240w_321h.webp
Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水,8.5,0.0万,415.5万,全2话,https://i0.hdslb.com/bfs/bangumi/image/e7926dc69ec863ef0b36b46a18e3bbf0d04f26d7.png@240w_321h.webp
笨女孩,8.5,0.0万,414.7万,全12话,https://i0.hdslb.com/bfs/bangumi/c897c607f6d2e40a18cb9656aed48ea26c252721.jpg@240w_321h.webp
野良神,8.5,0.0万,412.3万,全12话,https://i0.hdslb.com/bfs/bangumi/f1146494f45cc2c4a3fa0d081c5ecf4bc3147442.jpg@240w_321h.webp
名侦探柯南：零的日常,8.5,0.0万,411.2万,全6话,https://i0.hdslb.com/bfs/bangumi/image/7ef518ba0a360f34a5debf17181588390c2ce05a.jpg@240w_321h.webp
新猫和老鼠 第五季,8.5,0.0万,409.3万,全13话,https://i0.hdslb.com/bfs/bangumi/image/78df5067de950a94568f23e72d1e31e056815d94.jpg@240w_321h.webp
新猫和老鼠 第五季 中文配音,8.5,0.0万,407.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/caf2c0b10c42738436e30ba843a93fad9be38288.jpg@240w_321h.webp
天气之子,8.5,0.0万,407.0万,,https://i0.hdslb.com/bfs/bangumi/image/33680a2209c4dba76322b2ffeeaf3dd821db576c.png@240w_321h.webp
龙王的工作！,8.5,0.0万,406.9万,全12话,https://i0.hdslb.com/bfs/bangumi/b0207dd5dd7a1ce700b9e8f4dbbcfe03c922be6a.jpg@240w_321h.webp
夏目友人帐,8.5,0.0万,403.7万,全13话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
阿宅的恋爱真难,8.5,0.0万,402.2万,全11话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
猫和老鼠在纽约 第二季,8.5,0.0万,401.6万,全6话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
路人女主的养成方法 ♭,8.5,0.0万,401.4万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,8.5,0.0万,401.1万,全13话,https://i0.hdslb.com/bfs/bangumi/image/761ae7a5b65b2ff502b484c2ec7645f1398e7c58.png@240w_321h.webp
宝石之国,8.5,0.0万,400.6万,全12话,https://i0.hdslb.com/bfs/bangumi/146b2d991c87c333553d2b7b6e15f009f9359517.jpg@240w_321h.webp
猫和老鼠在纽约 第二季 中文配音,8.5,0.0万,400.5万,全6话,https://i0.hdslb.com/bfs/bangumi/image/f158647c6caf7617f159fc37a1ab61e628efd398.jpg@240w_321h.webp
